[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\urllib\error.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\dom\domreg.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\shutil.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\template\base.py first seen with mtime 1658158218.256101
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\DLLs\_ctypes.pyd first seen with mtime 1654511078.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\selector_events.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\views\i18n.py first seen with mtime 1658158218.3121014
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\urllib3\filepost.py first seen with mtime 1658158230.3416781
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1658158216.240102
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\embed_video\templatetags\__init__.py first seen with mtime 1658158230.8142426
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\keyword.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1658158218.3121014
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\_base.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\requests\certs.py first seen with mtime 1658158230.6969018
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\staticfiles\storage.py first seen with mtime 1658158218.0561018
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\functools.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\crispy_forms\layout_slice.py first seen with mtime 1658158228.2113366
